group_type,group,n,total_advantage,mean_advantage,fraction_of_total_positive_advantage
audit_group,audit_clean,113,0.0,0.0,
audit_group,exact_leak,3,0.0,0.0,
audit_group,label_conflict,56,0.0,0.0,
audit_group,near_train_analogue,19,0.0,0.0,
audit_group,same_scaffold,44,0.0,0.0,
clean_vs_nonclean,audit_clean,113,0.0,0.0,
clean_vs_nonclean,nonclean,122,0.0,0.0,
max_train_tanimoto_bin,"[0, 0.4)",67,0.0,0.0,
max_train_tanimoto_bin,"[0.4, 0.6)",32,0.0,0.0,
max_train_tanimoto_bin,"[0.6, 0.8)",44,0.0,0.0,
max_train_tanimoto_bin,"[0.8, 0.9)",27,0.0,0.0,
max_train_tanimoto_bin,"[0.9, 1.0]",65,0.0,0.0,
